id,amount,category,merchant,date
1,45.90,Food,Starbucks,2025-09-01
2,120.00,Transport,Uber,2025-09-02
3,15.50,Entertainment,Netflix,2025-09-02
4,250.00,Rent,Landlord,2025-09-03
5,32.75,Groceries,Walmart,2025-09-03
6,10.00,Transport,Bus Ticket,2025-09-04
7,85.20,Shopping,Amazon,2025-09-04
8,60.00,Health,Pharmacy,2025-09-05
9,12.00,Food,McDonald's,2025-09-05
10,150.00,Utilities,Electric Company,2025-09-06
11,20.50,Groceries,Trader Joe's,2025-09-07
12,75.00,Entertainment,Cinema,2025-09-07
13,200.00,Rent,Landlord,2025-09-08
14,9.99,Entertainment,Spotify,2025-09-08
15,45.00,Transport,Gas Station,2025-09-09
